vertex,c3_baseline_x,c3_baseline_y,c3_baseline_z,c3_deformed_x,c3_deformed_y,c3_deformed_z,c5_deformed_x,c5_deformed_y,c5_deformed_z,c3_c5_error
88,0.71590312,0.38294733,-0.00952342,0.70566263,0.39795373,-0.02138874,0.70566263,0.39795373,-0.02138874,0.0
89,0.74725806,0.37951126,-0.00332423,0.74059212,0.3943638,-0.01324542,0.74059212,0.3943638,-0.01324542,0.0
90,0.80299518,0.45991167,-0.06380638,0.79936173,0.45771354,-0.05553143,0.79936173,0.45771354,-0.05553143,0.0
91,0.80455242,0.43377785,-0.04891932,0.80169598,0.43650241,-0.04343403,0.80169598,0.43650241,-0.04343403,0.0
92,0.80172299,0.47955224,-0.06044729,0.79833472,0.47387505,-0.05332969,0.79833472,0.47387505,-0.05332969,0.0
93,0.80400977,0.48807277,-0.05173737,0.80144206,0.48091604,-0.04644155,0.80144206,0.48091604,-0.04644155,0.0
94,0.7864915,0.47723125,-0.0550397,0.78181268,0.47247854,-0.05069147,0.78181268,0.47247854,-0.05069147,0.0
95,0.78943797,0.47989027,-0.04734446,0.78553506,0.47468849,-0.04444177,0.78553506,0.47468849,-0.04444177,0.0
96,0.76787022,0.47886012,-0.03818674,0.76224857,0.47458044,-0.03957156,0.76224857,0.47458044,-0.03957156,0.0
97,0.77798966,0.48197178,-0.03319928,0.77373577,0.47692149,-0.034681,0.77373577,0.47692149,-0.034681,0.0
98,0.75767382,0.48502333,-0.0269348,0.75170301,0.48007623,-0.03198458,0.75170301,0.48007623,-0.03198458,0.0
99,0.77499914,0.49450423,-0.02963901,0.77075661,0.48731563,-0.03240173,0.77075661,0.48731563,-0.03240173,0.0
100,0.79066538,0.5218917,-0.04131008,0.78762472,0.509124,-0.0402006,0.78762472,0.509124,-0.0402006,0.0
101,0.79570069,0.50401521,-0.03602964,0.79332516,0.4944309,-0.03532751,0.79332516,0.4944309,-0.03532751,0.0
102,0.81947242,0.49572529,-0.04752162,0.8188259,0.48681382,-0.04165136,0.8188259,0.48681382,-0.04165136,0.0
103,0.79852744,0.49014638,-0.03969262,0.79610608,0.4829457,-0.03768697,0.79610608,0.4829457,-0.03768697,0.0
104,0.77780163,0.45915559,-0.05034459,0.77232368,0.45799477,-0.0477002,0.77232368,0.45799477,-0.0477002,0.0
105,0.78086746,0.43944002,-0.0378348,0.77624747,0.4419602,-0.03738356,0.77624747,0.4419602,-0.03738356,0.0
106,0.76256369,0.46345522,-0.03604445,0.75637231,0.46215095,-0.03824687,0.75637231,0.46215095,-0.03824687,0.0
107,0.72702809,0.68473772,0.01098211,0.72197219,0.64494102,-0.0085669,0.72197219,0.64494102,-0.0085669,0.0
108,0.69807785,0.68596278,0.04956032,0.69227899,0.6473179,0.01832289,0.69227899,0.6473179,0.01832289,0.0
109,0.68093434,0.66919214,0.03508997,0.67236058,0.63385313,0.00553074,0.67236058,0.63385313,0.00553074,0.0
110,0.70601707,0.67716688,0.01663966,0.69904284,0.63941082,-0.00627246,0.69904284,0.63941082,-0.00627246,0.0
111,0.74588186,0.69044358,0.01110164,0.74283955,0.64909046,-0.00657603,0.74283955,0.64909046,-0.00657603,0.0
112,0.72763336,0.69848365,0.05880933,0.72554939,0.65688314,0.02842625,0.72554939,0.65688314,0.02842625,0.0
113,0.67442882,0.64502159,0.01849011,0.66398546,0.61400564,-0.00769384,0.66398546,0.61400564,-0.00769384,0.0
114,0.70293188,0.65107391,0.00184742,0.69452802,0.61792227,-0.01770873,0.69452802,0.61792227,-0.01770873,0.0
115,0.732609,0.65167019,-0.01041873,0.72657096,0.6174067,-0.02412483,0.72657096,0.6174067,-0.02412483,0.0
116,0.76275872,0.65564039,-0.01512568,0.75960841,0.61975147,-0.02466972,0.75960841,0.61975147,-0.02466972,0.0
117,0.69201477,0.53150786,-0.01957085,0.68009831,0.52005186,-0.03379066,0.68009831,0.52005186,-0.03379066,0.0
118,0.71256236,0.49389815,-0.02244279,0.70225741,0.48865775,-0.03334123,0.70225741,0.48865775,-0.03334123,0.0
119,0.73132047,0.51439726,-0.02877811,0.7227812,0.50482107,-0.03658362,0.7227812,0.50482107,-0.03658362,0.0
120,0.60977524,0.62163083,0.08029007,0.59602509,0.59757543,0.03382987,0.59602509,0.59757543,0.03382987,0.0
121,0.6592177,0.49431562,-0.00964598,0.64414001,0.49067065,-0.02899669,0.64414001,0.49067065,-0.02899669,0.0
122,0.63148294,0.55594972,0.02311926,0.61602503,0.54236943,-0.00734005,0.61602503,0.54236943,-0.00734005,0.0
123,0.69147698,0.43721863,-0.01885404,0.67867127,0.44290771,-0.03196202,0.67867127,0.44290771,-0.03196202,0.0
124,0.64088426,0.42737998,-0.01066115,0.62323196,0.43638568,-0.03075605,0.62323196,0.43638568,-0.03075605,0.0
125,0.59744474,0.37956084,0.02815373,0.57712287,0.3990563,-0.00449016,0.57712287,0.3990563,-0.00449016,0.0
126,0.5876924,0.32651104,0.05207243,0.56726621,0.35629048,0.01380609,0.56726621,0.35629048,0.01380609,0.0
127,0.56010217,0.56623041,0.12639712,0.54339516,0.55431182,0.06519945,0.54339516,0.55431182,0.06519945,0.0
128,0.59081618,0.52588636,0.05830507,0.57293065,0.5194252,0.01614061,0.57293065,0.5194252,0.01614061,0.0
129,0.6125427,0.47079904,0.01467915,0.59384133,0.47308809,-0.01466579,0.59384133,0.47308809,-0.01466579,0.0
130,0.56894339,0.4309336,0.0713924,0.54868247,0.44254019,0.0253592,0.54868247,0.44254019,0.0253592,0.0
131,0.55389793,0.46992268,0.1060227,0.53447068,0.47538197,0.05010785,0.53447068,0.47538197,0.05010785,0.0
132,0.75878917,0.45385534,-0.02416004,0.75280505,0.45457646,-0.02927562,0.75280505,0.45457646,-0.02927562,0.0
133,0.76516882,0.51645513,-0.03747393,0.75965387,0.50543785,-0.03981904,0.75965387,0.50543785,-0.03981904,0.0
134,0.57601479,0.26310885,0.09680736,0.55640508,0.3054372,0.04819403,0.55640508,0.3054372,0.04819403,0.0
135,0.60974596,0.22944773,0.0539061,0.59080092,0.27630168,0.01890359,0.59080092,0.27630168,0.01890359,0.0
136,0.55279084,0.36864742,0.10560836,0.53228491,0.39255493,0.05110519,0.53228491,0.39255493,0.05110519,0.0
137,0.80038118,0.39025068,-0.02205168,0.79823513,0.40139489,-0.02238227,0.79823513,0.40139489,-0.02238227,0.0
138,0.78039091,0.39794944,-0.01620756,0.77658384,0.40833908,-0.02004618,0.77658384,0.40833908,-0.02004618,0.0
139,0.75649318,0.40916385,-0.01228419,0.75054177,0.41824032,-0.01965937,0.75054177,0.41824032,-0.01965937,0.0
140,0.54468897,0.31612743,0.13462148,0.52455239,0.3502618,0.07351194,0.52455239,0.3502618,0.07351194,0.0
141,0.78148852,0.20499158,-0.0166015,0.77595561,0.25041524,-0.01749655,0.77595561,0.25041524,-0.01749655,0.0
142,0.71525085,0.19836055,-0.01057891,0.70315704,0.24693273,-0.01966407,0.70315704,0.24693273,-0.01966407,0.0
143,0.66201268,0.20903725,0.01162179,0.64580955,0.25749495,-0.00815583,0.64580955,0.25749495,-0.00815583,0.0
144,0.65095506,0.80216896,0.18636351,0.64933344,0.74574027,0.11791465,0.64933344,0.74574027,0.11791465,0.0
145,0.68117288,0.73392534,0.1635865,0.6807043,0.68872578,0.10437478,0.6807043,0.68872578,0.10437478,0.0
146,0.5888542,0.77624797,0.19869411,0.5812916,0.72643502,0.12133683,0.5812916,0.72643502,0.12133683,0.0
147,0.62692374,0.70622115,0.17197982,0.62107805,0.6676849,0.10559069,0.62107805,0.6676849,0.10559069,0.0
148,0.54107788,0.74043703,0.22810725,0.52995824,0.69889757,0.13966335,0.52995824,0.69889757,0.13966335,0.0
149,0.5740068,0.66719897,0.19916076,0.56391365,0.63762876,0.12169174,0.56391365,0.63762876,0.12169174,0.0
150,0.51240682,0.6886608,0.27084381,0.50033323,0.65797385,0.17056055,0.50033323,0.65797385,0.17056055,0.0
151,0.5333739,0.62267241,0.24287135,0.52122017,0.60298455,0.15198803,0.52122017,0.60298455,0.15198803,0.0
152,0.61540909,0.65376202,0.13880779,0.60595005,0.62458502,0.07938223,0.60595005,0.62458502,0.07938223,0.0
153,0.65965462,0.68231189,0.12283055,0.6541079,0.64648343,0.07121549,0.6541079,0.64648343,0.07121549,0.0
154,0.70200883,0.70215831,0.12704495,0.70127165,0.66161249,0.07864929,0.70127165,0.66161249,0.07864929,0.0
155,0.55926544,0.59137219,0.18070642,0.54587019,0.57572087,0.10690399,0.54587019,0.57572087,0.10690399,0.0
156,0.52147746,0.471512,0.16941371,0.50242642,0.47854469,0.09588269,0.50242642,0.47854469,0.09588269,0.0
157,0.51987806,0.56463337,0.27711123,0.5077877,0.55639769,0.17796737,0.5077877,0.55639769,0.17796737,0.0
158,0.53878614,0.54077323,0.20759288,0.52437826,0.53529938,0.12634229,0.52437826,0.53529938,0.12634229,0.0
159,0.75968003,0.11740292,0.02692034,0.75359531,0.18004911,0.015234,0.75359531,0.18004911,0.015234,0.0
160,0.73907773,0.03178661,0.12430969,0.7357114,0.11208999,0.08986507,0.7357114,0.11208999,0.08986507,0.0
161,0.70429037,-0.00128592,0.24253562,0.70388139,0.08782039,0.17843449,0.70388139,0.08782039,0.17843449,0.0
162,0.65334174,0.01669602,0.39473016,0.65667345,0.10627587,0.29094592,0.65667345,0.10627587,0.29094592,0.0
163,0.69388904,0.11743075,0.0385268,0.68168908,0.18208709,0.0173502,0.68168908,0.18208709,0.0173502,0.0
