vertex,baseline_x,baseline_y,baseline_z,deformed_x,deformed_y,deformed_z,dx,dy,dz,displacement_norm
30,0.6597153,0.33194397,-0.00711059,0.64332578,0.35781955,-0.02466885,-0.016389517296029554,0.02587557866689555,-0.01755825593989835,0.03530515826610224
31,0.6750387,0.33625238,-0.01241779,0.6599654,0.36083668,-0.02724664,-0.01507330370565807,0.02458430339405676,-0.014828848067780398,0.032426643258150395
32,0.6872327,0.35273957,-0.01665138,0.67332837,0.37392352,-0.02949203,-0.013904334820482367,0.02118395094510711,-0.012840647817762896,0.02840726211419541
33,0.69269043,0.32004212,-0.02282968,0.6786848,0.34692067,-0.03325219,-0.014005629069239633,0.02687855069562095,-0.010422508756369853,0.03205062904061014
34,0.69464047,0.33178451,-0.02417735,0.68086841,0.35645448,-0.03426134,-0.013772056730687932,0.02466997018910866,-0.01008399185974973,0.029999397786493905
35,0.71310596,0.366792,-0.01832663,0.70191287,0.3846771,-0.02828582,-0.011193092737921573,0.017885102067810354,-0.00995919037271098,0.023331259586563385
36,0.71036515,0.35594004,-0.01999433,0.69868996,0.37584754,-0.02971275,-0.011675184248516435,0.019907497902864113,-0.009718418083366431,0.025041286908472755
37,0.44653666,0.37292496,0.25175616,0.42365892,0.40124292,0.15331374,-0.022877741433220522,0.028317967575625047,-0.09844241761097972,0.10495812462974925
38,0.45351445,0.32852814,0.24396524,0.43048628,0.36461576,0.14862626,-0.023028172800068192,0.036087624712485666,-0.09533898092430962,0.10450901723576239
39,0.46777912,0.43416377,0.22827386,0.44628889,0.45038425,0.13645508,-0.02149022873792672,0.01622047762151485,-0.09181878261274973,0.0956850179806947
40,0.53015794,0.35839512,0.14874406,0.50974419,0.38545838,0.08235288,-0.02041374279154584,0.0270632646857355,-0.06639117863744123,0.07454481733211371
41,0.53074919,0.40523755,0.14606,0.51067548,0.42371831,0.07967026,-0.020073708786650934,0.018480761647029775,-0.06638974538647585,0.0717780650894595
42,0.54287802,0.51364986,0.14359293,0.52491238,0.51202951,0.07748995,-0.017965636537667917,-0.0016203499283293787,-0.06610297916697319,0.06852002251052694
43,0.48869925,0.31122412,0.21564992,0.46747836,0.34905014,0.13058754,-0.0212208938985331,0.037826017644698895,-0.08506237899631874,0.09548163315121522
44,0.49276304,0.46973471,0.19029083,0.47195981,0.47820716,0.1090985,-0.020803233189958026,0.008472453559549176,-0.08119233503203374,0.0842422236674015
45,0.46490045,0.34686648,0.22946403,0.44237073,0.37907763,0.138309,-0.022529715196977718,0.03221114777388823,-0.09115502882338855,0.09926925701122674
46,0.48105301,0.35056766,0.21298288,0.4592591,0.38140391,0.12716175,-0.021793912619742728,0.03083625416477448,-0.08582112970534,0.09376094870516374
47,0.49623939,0.38886721,0.22717467,0.47718958,0.41252379,0.13922527,-0.01904981264416039,0.023656582166904916,-0.08794940787951286,0.09304637331972727
48,0.46012626,0.37895279,0.2278844,0.43731373,0.40543167,0.13613007,-0.02281252493478697,0.026478880764085055,-0.09175433497464519,0.0981855407229512
49,0.47685492,0.43844124,0.22288867,0.45602382,0.45354834,0.1331674,-0.02083109545816958,0.01510710433282314,-0.08972126983657103,0.09333844545736214
50,0.48323838,0.45122153,0.19052293,0.46129837,0.46333275,0.10854176,-0.021940008668113242,0.012111219556694752,-0.08198116904280833,0.08572606194811976
51,0.49863836,0.36528703,0.19287062,0.4776186,0.39264726,0.11319179,-0.02101975909198639,0.02736022594733034,-0.07967883489588268,0.08682815768251359
52,0.5048934,0.39362211,0.18387632,0.4842568,0.41551317,0.1064684,-0.02063660540779011,0.02189105697209881,-0.07740791421159021,0.0830486185357795
53,0.49586197,0.45224804,0.18001063,0.47461684,0.46366107,0.1016934,-0.021245132395672273,0.011413037584252661,-0.07831722648107212,0.08194633024789305
54,0.8140877,0.5396162,-0.04613108,0.81336364,0.52291058,-0.04172952,-0.00072405614218507,-0.016705623385146806,0.00440156297674027,0.017290918617054746
55,0.78655376,0.54843524,-0.04701216,0.78299844,0.53087904,-0.04542355,-0.003555318614482772,-0.01755620232152577,0.0015886159116629273,0.01798288716862849
56,0.79336793,0.53205319,-0.04730558,0.79035337,0.51727697,-0.04471226,-0.0030145660118822137,-0.014776223326447457,0.0025933138462617134,0.015301949573118392
57,0.77520706,0.58510472,-0.03822326,0.77133136,0.56133641,-0.04029684,-0.0038757004140235196,-0.02376830353942916,-0.0020735782315899898,0.02417132668109524
58,0.77184171,0.6068467,-0.02754138,0.76844458,0.57938266,-0.03266398,-0.0033971308826891145,-0.027464035664497954,-0.0051225975264238,0.028143467423767436
59,0.72473391,0.56244277,-0.02627236,0.71610473,0.54436406,-0.03599776,-0.008629183868689494,-0.018078715480486562,-0.009725402622489776,0.02226850295447735
