global_vertex,is_face_component,distance_to_face,displacement_magnitude,nearest_face_local,neighbor_jump,relative_jump
552,0,0.0070847447762710635,0.019424040456867592,247,0.0010657967973900868,0.052240173636869634
553,0,0.01584876158519971,0.019092643741052143,434,0.0018208815815312866,0.0875649901315751
554,0,0.02371102857043526,0.018906027181891574,433,0.002968973225468525,0.15524941457582003
555,0,0.030740746767593273,0.018837749604846885,433,0.003016910862151317,0.15775610273565596
556,0,0.038506529535864385,0.01868641803864521,433,0.002795231833237567,0.14616437157170617
557,0,0.046716828761153045,0.018673109636657335,433,0.002815974018814046,0.14724899306311864
558,0,0.05433717527310744,0.018670569696897257,433,0.002827436214888003,0.14784835826283488
559,0,0.06213912458280529,0.018672422554728042,433,0.0028390451902082147,0.14845539863855386
560,0,0.012121661433293728,0.01969833100759497,247,0.001992887458573515,0.09768164731735063
561,0,0.008055260684360233,0.019833834287939816,247,0.0013650841871833443,0.06690978537562853
562,0,0.010136416276939307,0.01981328444719786,434,0.0018026475198653922,0.08668812617401347
563,0,0.01718635551717994,0.019633360771157994,434,0.0017787967621044915,0.08554115901857247
564,0,0.025799285548082567,0.01949165538394124,434,0.0020098525389848363,0.0966524784078082
565,0,0.03425549624485104,0.019227855700770888,434,0.0019080872029605949,0.09175865075032524
566,0,0.0426998425453186,0.019187439766366315,434,0.0019309995818086161,0.09286049188489845
567,0,0.050803624040058476,0.019166701834407343,434,0.0019445904194819671,0.09351406627370962
568,0,0.058705317547039164,0.019152248983889782,434,0.0019522600069082207,0.09388289165703212
569,0,0.06615761256024136,0.019397613606781525,434,0.0018846801303555533,0.09063302012038288
570,0,0.015164018452830993,0.02010691540219603,247,0.0023455908828744865,0.11496945318514917
571,0,0.013238166779622439,0.020109470958076445,247,0.001880394938831645,0.09216781130418666
572,0,0.015929752713454193,0.020089697299316117,434,0.002013448493483823,0.09682540547973376
573,0,0.022257466520361223,0.020047144571662383,434,0.002039431139070111,0.09807489370973836
574,0,0.029837808793830706,0.01999429474951102,434,0.0020397259212046087,0.09808906958748904
575,0,0.037527593094236686,0.02048687119634847,434,0.002232257537768583,0.1073477876037715
576,0,0.045587425452081665,0.019931429203767854,434,0.001877582017821999,0.09029167658642785
577,0,0.05324553993194927,0.01990604927541333,434,0.001873039172699481,0.09007321417110262
578,0,0.06070996434748255,0.019889903755789314,434,0.0018747455634286062,0.0901552733719161
