global_vertex,is_face_component,baseline_x,baseline_y,baseline_z,deformed_x,deformed_y,deformed_z,dx,dy,dz,displacement_magnitude
76,1,0.7144388960670455,0.5863609059318478,-0.022413899078742694,0.7051948739219879,0.5642814607938466,-0.03441923017489407,-0.009244022145057595,-0.022079445138001197,-0.012005331096151373,0.02677838340431586
77,1,0.769608980790835,0.6158525466128255,-0.020028265538396373,0.7665030209248358,0.5869267628859702,-0.027193021400415185,-0.0031059598659991527,-0.02892578372685528,-0.007164755862018812,0.02996133637647587
78,1,0.7403441566357825,0.6040367432381561,-0.025339500732746545,0.7337831341650528,0.5779874154932652,-0.03422174608486861,-0.006561022470729649,-0.026049327744890993,-0.008882245352122065,0.028293263762200732
79,1,0.6449709536314479,0.3280297321792993,-0.0015898744276081067,0.6273419034209149,0.35511211668959736,-0.021870442914181665,-0.01762905021053296,0.02708238451029804,-0.020280568486573558,0.03815154545005646
80,1,0.6731860254573219,0.3732954206283088,-0.007964632590616638,0.6585265656090608,0.39126791856283766,-0.02451070926291332,-0.014659459848261114,0.017972497934528875,-0.016546076672296683,0.028490052620080312
81,1,0.7802088588549091,0.35977586556747543,0.0025161569716068977,0.7771095561355855,0.37738471503631776,-0.004980995427158408,-0.003099302719323571,0.017608849468842336,-0.0074971523987653055,0.01938774228869024
82,1,0.7638918458256798,0.31571856615515603,-0.020584280773055685,0.7573503849707699,0.3414331231538015,-0.023999136819382816,-0.00654146085490992,0.025714556998645444,-0.0034148560463271305,0.026752390427213064
83,1,0.7219148869588308,0.30379076187901344,-0.03340760626093292,0.7101680265520381,0.3326468131627575,-0.038176751883283955,-0.011746860406792625,0.028856051283744077,-0.004769145622351034,0.031518330778674344
84,1,0.7234574185838238,0.27594595798327504,-0.0359168626963387,0.7114633077398662,0.3097834724004191,-0.03956863182552628,-0.011994110843957628,0.033837514417144055,-0.0036517691291875765,0.03608561340258
85,1,0.6868734035784136,0.30356327930809,-0.028873506608980637,0.6717592098432199,0.33350675923675316,-0.03831874491824672,-0.015114193735193737,0.02994347992866314,-0.00944523830926608,0.03484628199997884
86,1,0.6721214845921558,0.2779057458458034,-0.02237331928101166,0.6556215915712269,0.3130265602160893,-0.03445358315087338,-0.016499893020928913,0.03512081437028591,-0.012080263869861718,0.040640507463609095
87,1,0.6301433091265984,0.30369171850633503,0.007702896233281853,0.6112983943421106,0.3357562784846567,-0.015865299791823273,-0.0188449147844878,0.032064559978321694,-0.023568196025105126,0.04403097413998215
88,1,0.7159031177267292,0.3829473288693226,-0.009523416966368325,0.7056626322651904,0.3979537260177083,-0.02138874138096175,-0.010240485461538773,0.015006397148385697,-0.011865324414593426,0.02169897281731585
89,1,0.747258058321401,0.37951125815863396,-0.003324234588374775,0.7405921164558337,0.39436380449110936,-0.01324542042095217,-0.006665941865567349,0.014852546332475403,-0.009921185832577395,0.019064701462073473
90,1,0.8029951766192707,0.459911672488869,-0.06380638250173187,0.7993617346872499,0.4577135362988687,-0.055531431706055845,-0.0036334419320207534,-0.0021981361900003105,0.008274950795676028,0.009300995304483016
91,1,0.8045524209954089,0.4337778498259448,-0.04891931719061704,0.8016959780851213,0.43650241169429393,-0.043434029047918155,-0.0028564429102876376,0.002724561868349129,0.005485288142698885,0.00675802408124058
92,1,0.8017229925225223,0.4795522442891702,-0.060447287192470944,0.7983347208756846,0.4738750479722391,-0.05332969274563165,-0.0033882716468377483,-0.005677196316931088,0.007117594446839293,0.009714478549228365
93,1,0.8040097745840533,0.4880727737616448,-0.05173736840320914,0.8014420592270737,0.48091603670686656,-0.046441554016604936,-0.0025677153569796385,-0.007156737054778262,0.005295814386604203,0.0092659428793334
94,1,0.7864914999771643,0.4772312465891426,-0.055039702410248637,0.7818126832206135,0.47247853873617046,-0.050691465637703825,-0.0046788167565507965,-0.00475270785297216,0.004348236772544811,0.007961577808901617
95,1,0.7894379749439189,0.4798902701332608,-0.047344462528939535,0.7855350619426621,0.4746884850923041,-0.04444176730363347,-0.0039029130012567803,-0.005201785040956697,0.0029026952253060623,0.007121582484161416
96,1,0.7678702176830908,0.4788601185172974,-0.038186740867649005,0.762248565684272,0.47458043826579716,-0.03957156321168609,-0.005621651998818811,-0.0042796802515002175,-0.0013848223440370844,0.00719974771609734
97,1,0.7779896556377544,0.48197178345739733,-0.03319928119139909,0.7737357674526911,0.4769214901716084,-0.03468100177215383,-0.004253888185063226,-0.0050502932857889316,-0.0014817205807547418,0.006767312822896355
98,1,0.7576738169019451,0.4850233277982845,-0.026934800628740208,0.7517030124960703,0.4800762308263137,-0.0319845843011935,-0.00597080440587483,-0.004947096971970821,-0.00504978367245329,0.009253355544983289
99,1,0.7749991360825833,0.494504234761334,-0.029639007367945447,0.7707566135720375,0.4873156338569991,-0.03240173233785065,-0.004242522510545799,-0.007188600904334874,-0.002762724969905206,0.008792475730625006
100,1,0.7906653779680823,0.5218917026328418,-0.04131007799440334,0.7876247182367289,0.5091239983516872,-0.04020060006526166,-0.003040659731353479,-0.01276770428115459,0.0011094779291416779,0.013171591608007757
101,1,0.7957006889201911,0.504015208157222,-0.03602964258099273,0.7933251619765943,0.49443089545758934,-0.035327508971933264,-0.002375526943596773,-0.009584312699632669,0.0007021336090594632,0.009899250971112166
102,1,0.8194724162151183,0.49572529235159646,-0.04752162413431693,0.8188258962675261,0.4868138188259512,-0.04165136157448873,-0.000646519947592239,-0.008911473525645253,0.005870262559828199,0.010690759138724977
103,1,0.7985274386543235,0.49014637806118433,-0.03969261803430707,0.7961060849174908,0.48294570080493215,-0.03768696712863617,-0.002421353736832721,-0.007200677256252175,0.002005650905670897,0.007857184128108468
104,1,0.7778016343781424,0.4591555914738592,-0.05034458960367505,0.7723236842604788,0.45799477436081115,-0.04770019557922306,-0.00547795011766361,-0.0011608171130480516,0.0026443940244519903,0.006192596678140226
105,1,0.780867457548663,0.4394400202786146,-0.037834802326053185,0.7762474655126853,0.4419601984243249,-0.03738355554011713,-0.004619992035977738,0.0025201781457102612,0.0004512467859360547,0.005281973869722469
106,1,0.7625636946870714,0.4634552223794728,-0.03604445070685486,0.7563723147537618,0.4621509537890881,-0.03824687498444618,-0.006191379933309649,-0.001304268590384683,-0.0022024242775913194,0.006699624969576811
107,1,0.7270280853459897,0.6847377163379873,0.010982113312991537,0.7219721896108707,0.6449410245732033,-0.008566903457033648,-0.005055895735118998,-0.039796691764783954,-0.019549016770025185,0.044626256999443094
108,1,0.6980778483302907,0.6859627753456321,0.04956032003669836,0.6922789911606568,0.6473178990089197,0.018322892852592143,-0.005798857169633909,-0.03864487633671243,-0.031237427184106215,0.050028292681601166
109,1,0.6809343375163709,0.6691921415621493,0.03508997059658209,0.6723605803724761,0.6338531330534325,0.005530739777348276,-0.008573757143894745,-0.03533900850871685,-0.02955923081923381,0.046862596605036624
110,1,0.7060170745583599,0.6771668781115086,0.016639655690915245,0.6990428446380148,0.6394108173186546,-0.006272460882824099,-0.006974229920345132,-0.037756060792853985,-0.022912116573739344,0.04471157674992176
111,1,0.745881862763603,0.6904435834615104,0.011101644520674303,0.7428395501757399,0.6490904568498761,-0.006576028601700701,-0.0030423125878631385,-0.04135312661163426,-0.017677673122375004,0.04507590124957752
112,1,0.7276333645057975,0.6984836537857877,0.058809333885067594,0.7255493944114013,0.6568831395608992,0.028426253233182652,-0.0020839700943962036,-0.04160051422488853,-0.03038308065188494,0.051556544735158846
113,1,0.674428817470857,0.6450215854277808,0.018490113244478967,0.6639854575286567,0.6140056422745531,-0.00769383821583508,-0.010443359942200359,-0.031015943153227643,-0.026183951460314048,0.04191243026409571
114,1,0.7029318759046066,0.6510739119280666,0.0018474243939867185,0.6945280208406309,0.6179222669290588,-0.017708727222968512,-0.008403855063975674,-0.0331516449990078,-0.01955615161695523,0.039396692908693354
115,1,0.7326089957117643,0.6516701882219653,-0.010418727482530754,0.7265709592505768,0.6174067031529279,-0.02412483370364865,-0.0060380364611875015,-0.034263485069037425,-0.013706106221117897,0.037393871705499376
116,1,0.7627587246360372,0.6556403853544372,-0.015125676602945115,0.7596084098583333,0.6197514749366804,-0.024669723947394806,-0.0031503147777038887,-0.03588891041775688,-0.009544047344449691,0.037269655403363945
117,1,0.6920147669421696,0.5315078559957094,-0.019570852058285237,0.6800983070293589,0.520051863169195,-0.03379066421953536,-0.01191645991281065,-0.011455992826514327,-0.014219812161250123,0.021804697805656647
118,1,0.7125623600807185,0.49389815463816245,-0.022442793804115846,0.7022574098495158,0.4886577473164183,-0.03334122620450941,-0.010304950231202703,-0.005240407321744134,-0.010898432400393565,0.01588803628367277
119,1,0.7313204669535798,0.5143972586308356,-0.028778107291518973,0.7227812020485769,0.5048210721043384,-0.03658362336461218,-0.008539264905002897,-0.009576186526497277,-0.0078055160730932105,0.015018271361092081
120,1,0.6097752367623928,0.6216308252883671,0.08029006751076245,0.5960250920360446,0.5975754303263764,0.033829868737340396,-0.013750144726348168,-0.024055394961990717,-0.04646019877342206,0.05409508828755876
121,1,0.6592176967185498,0.49431562040028343,-0.009645976581097726,0.6441400078595348,0.49067064724192677,-0.028996694572359483,-0.015077688859014948,-0.003644973158356657,-0.019350717991261757,0.02480066163294329
122,1,0.6314829434092084,0.5559497177775157,0.023119258133599663,0.6160250300742371,0.5423694308038587,-0.007340047615284839,-0.015457913334971263,-0.013580286973656985,-0.030459305748884502,0.03675786426960071
123,1,0.6914769789126107,0.43721862953329627,-0.01885404252342432,0.6786712691324228,0.44290771069184115,-0.031962018301941286,-0.012805709780187913,0.005689081158544884,-0.013107975778516967,0.019187779350750785
124,1,0.6408842565283043,0.42737998123426113,-0.010661151764401022,0.6232319602915841,0.43638568072395195,-0.03075604807726323,-0.017652296236720155,0.009005699489690822,-0.02009489631286221,0.02822252723538814
